;
;
ESTABILIZAÇÃO DE Procedimento de Alta ComplexidadeIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA;;;Seg. Odontológica;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR;;;;Seg. Ambulatoria;;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;;Plano Referência;;135;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA/AVALIAÇÃO COM FISIOTERAPEUTA;541/2022;01/08/2022;;Seg. Ambulatoria;;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA MÉDICA;;;;Seg. Ambulatoria;;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA Seg. OdontológicaONTOLÓGICA;;;Seg. Odontológica;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA Seg. OdontológicaONTOLÓGICA INICIAL;;;Seg. Odontológica;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA Seg. OdontológicaONTOLÓGICA DE URGÊNCIA;;;Seg. Odontológica;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA Seg. OdontológicaONTOLÓGICA PARA AVALIAÇÃO TÉCNICA DE AUDITORIA;;;Seg. Odontológica;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA/AVALIAÇÃO COM PSICÓLOGO;541/2022;01/08/2022;;Seg. Ambulatoria;;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;Seg. Odontológica;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;Diretriz de Utilização;SUBGRUPO;GRUPO;CAPÍTULO;
SESSÃO COM PSICÓLOGO;541/2022;01/08/2022;;Seg. Ambulatoria;;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO;541/2022;01/08/2022;;Seg. Ambulatoria;;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
SESSÃO COM FONOAUDIÓLOGO;541/2022;01/08/2022;;Seg. Ambulatoria;;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO);;;;Seg. Ambulatoria;;;Plano Referência;;103;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUProcedimento de Alta ComplexidadeIONAL;541/2022;01/08/2022;;Seg. Ambulatoria;;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
SESSÃO COM TERAPEUTA OCUProcedimento de Alta ComplexidadeIONAL;541/2022;01/08/2022;;Seg. Ambulatoria;;;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
TRANSPORTE EXTRA-HOSPITALAR DE Procedimento de Alta ComplexidadeIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
VISITA HOSPITALAR;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;
ACOMPANHAMENTO CLÍNICO Seg. AmbulatoriaULATORIAL PÓS-TRANSPLANTE DE CÓRNEA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
ACOMPANHAMENTO CLÍNICO Seg. AmbulatoriaULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
ACOMPANHAMENTO CLÍNICO Seg. AmbulatoriaULATORIAL PÓS-TRANSPLANTE HEPÁTICO;546/2022;03/10/2022;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
ACOMPANHAMENTO CLÍNICO Seg. AmbulatoriaULATORIAL PÓS-TRANSPLANTE RENAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE HEPÁTICO NO PERÍSeg. OdontológicaO DE INTERNAÇÃO DO RECEPTOR E DO DOADOR;546/2022;03/10/2022;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍSeg. OdontológicaO DE INTERNAÇÃO DO RECEPTOR E DO DOADOR;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
AVALIAÇÃO CLÍNICA DIARIA ENTERAL E/OU PARENTERAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
AVALIAÇÃO CLÍNICA E ELETRÔNICA DE Procedimento de Alta ComplexidadeIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO IMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OU MONITOR DE EVENTOS);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
CARDIOVERSÃO ELÉTRICA COM ELETROCARDIOGRAMA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA);;;Seg. Odontológica;;;;;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
FORNECIMENTO DE EQUIPAMENTOS COLETORES  E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAÇÃO - PROUT);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;Seg. Odontológica;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;Diretriz de Utilização;SUBGRUPO;GRUPO;CAPÍTULO;
PROFILAXIA: POLIMENTO CORONÁRIO;;;Seg. Odontológica;;;;;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;64;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO);536/2022;06/05/2022;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;152;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A TRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO);;;;Seg. Ambulatoria;;;Plano Referência;Procedimento de Alta Complexidade;54;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
CARDIOTOCOGRAFIA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL;;;;Seg. Ambulatoria;;;Plano Referência;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
MONITORIZAÇÃO Seg. AmbulatoriaULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO;;;;Seg. Ambulatoria;;;Plano Referência;;56;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
MONITORIZAÇÃO Seg. AmbulatoriaULATORIAL DA PRESSÃO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAÇÃO RESIDENCIAL DA PRESSÃO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAÇÂO;581/2023;12/072023;;Seg. Ambulatoria;;;Plano Referência;;162;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
MONITORIZAÇÃO HEMSeg. OdontológicaINÂMICA INVASIVA OU NÃO INVASIVA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO);;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;67;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS;;;;Seg. Ambulatoria;;;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
BIOFEEDBACK COM EMG;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
EXERCÍCIOS DE ORTÓPTICA;;;;Seg. Ambulatoria;;;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;Seg. Odontológica;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;Diretriz de Utilização;SUBGRUPO;GRUPO;CAPÍTULO;
REABILITAÇÃO LABIRÍNTICA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
REEDUACAÇÃO E REABILITAÇÃO DE QUEIMADOS PARA PREVENÇÃO DE SEQUELAS;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA LINFÁTICO E/OU VASCULAR PERIFÉRICO;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU REUMÁTICOS;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS Seg. AmbulatoriaULATORIAIS E HOSPITALARES;
